"","emote_name","emote_link"
"1","OMEGALUL","https://cdn.frankerfacez.com/emoticon/128054/1"
"2","Pog","https://cdn.frankerfacez.com/emoticon/210748/1"
"3","PepeHands","https://cdn.frankerfacez.com/emoticon/231552/1"
"4","LULW","https://cdn.frankerfacez.com/emoticon/139407/1"
"5","Pepega","https://cdn.frankerfacez.com/emoticon/243789/1"
"6","widepeepoHappy","https://cdn.frankerfacez.com/emoticon/270930/1"
"7","monkaW","https://cdn.frankerfacez.com/emoticon/214681/1"
"8","5Head","https://cdn.frankerfacez.com/emoticon/239504/1"
"9","KEKW","https://cdn.frankerfacez.com/emoticon/381875/1"
"10","POGGERS","https://cdn.frankerfacez.com/emoticon/214129/1"
"11","monkaS","https://cdn.frankerfacez.com/emoticon/130762/1"
"12","AYAYA","https://cdn.frankerfacez.com/emoticon/162146/1"
"13","PepeLaugh","https://cdn.frankerfacez.com/emoticon/64785/1"
"14","widepeepoSad","https://cdn.frankerfacez.com/emoticon/303899/1"
"15","FeelsBadMan","https://cdn.frankerfacez.com/emoticon/33355/1"
"16","HYPERS","https://cdn.frankerfacez.com/emoticon/236895/1"
"17","FeelsOkayMan","https://cdn.frankerfacez.com/emoticon/145947/1"
"18","Kapp","https://cdn.frankerfacez.com/emoticon/218860/1"
"19","HandsUp","https://cdn.frankerfacez.com/emoticon/229760/1"
"20","Sadge","https://cdn.frankerfacez.com/emoticon/425196/1"
"21","YEP","https://cdn.frankerfacez.com/emoticon/418189/1"
"22","gachiGASM","https://cdn.frankerfacez.com/emoticon/103171/1"
"23","EZY","https://cdn.frankerfacez.com/emoticon/185890/1"
"24","3Head","https://cdn.frankerfacez.com/emoticon/274406/1"
"25","FeelsWeirdMan","https://cdn.frankerfacez.com/emoticon/131597/1"
"26","PepoThink","https://cdn.frankerfacez.com/emoticon/174942/1"
"27","monkaHmm","https://cdn.frankerfacez.com/emoticon/240746/1"
"28","KKomrade","https://cdn.frankerfacez.com/emoticon/145916/1"
"29","forsenCD","https://cdn.frankerfacez.com/emoticon/249060/1"
"30","HYPERBRUH","https://cdn.frankerfacez.com/emoticon/204717/1"
"31","monkaOMEGA","https://cdn.frankerfacez.com/emoticon/167431/1"
"32","monkaGun","https://cdn.frankerfacez.com/emoticon/187256/1"
"33","monkaTOS","https://cdn.frankerfacez.com/emoticon/237857/1"
"34","peepoHappy","https://cdn.frankerfacez.com/emoticon/228449/1"
"35","monkaEyes","https://cdn.frankerfacez.com/emoticon/268204/1"
"36","FeelsGoodMan","https://cdn.frankerfacez.com/emoticon/109777/1"
"37","KKonaW","https://cdn.frankerfacez.com/emoticon/229486/1"
"38","peepoBlanket","https://cdn.frankerfacez.com/emoticon/262458/1"
"39","4HEad","https://cdn.frankerfacez.com/emoticon/128247/1"
"40","weSmart","https://cdn.frankerfacez.com/emoticon/165742/1"
"41","FeelsStrongMan","https://cdn.frankerfacez.com/emoticon/64210/1"
"42","PepoG","https://cdn.frankerfacez.com/emoticon/218530/1"
"43","REEeee","https://cdn.frankerfacez.com/emoticon/116831/1"
"44","FeelsDankMan","https://cdn.frankerfacez.com/emoticon/536927/1"
"45","monkaH","https://cdn.frankerfacez.com/emoticon/201362/1"
"46","PepeLaugh","https://cdn.frankerfacez.com/emoticon/263833/1"
"47","peepoLove","https://cdn.frankerfacez.com/emoticon/250614/1"
"48","FeelsSpecialMan","https://cdn.frankerfacez.com/emoticon/191854/1"
"49","monkaMEGA","https://cdn.frankerfacez.com/emoticon/157576/1"
"50","WideHardo","https://cdn.frankerfacez.com/emoticon/309114/1"
"51","peepoSad","https://cdn.frankerfacez.com/emoticon/230082/1"
"52","KEKWait","https://cdn.frankerfacez.com/emoticon/390750/1"
"53","WideHard","https://cdn.frankerfacez.com/emoticon/246878/1"
"54","PepegaPhone","https://cdn.frankerfacez.com/emoticon/312720/1"
"55","YouDied","https://cdn.frankerfacez.com/emoticon/47399/1"
"56","peepoWTF","https://cdn.frankerfacez.com/emoticon/267880/1"
"57","pikachuS","https://cdn.frankerfacez.com/emoticon/298485/1"
"58","peepoClown","https://cdn.frankerfacez.com/emoticon/318914/1"
"59","widepeepoHappy","https://cdn.frankerfacez.com/emoticon/346289/1"
"60","HeavyBreathing","https://cdn.frankerfacez.com/emoticon/29990/1"
"61","Klappa","https://cdn.frankerfacez.com/emoticon/38879/1"
"62","4House","https://cdn.frankerfacez.com/emoticon/230495/1"
"63","peepoFat","https://cdn.frankerfacez.com/emoticon/288800/1"
"64","4Weird","https://cdn.frankerfacez.com/emoticon/308193/1"
"65","DICKS","https://cdn.frankerfacez.com/emoticon/19972/1"
"66","PressF","https://cdn.frankerfacez.com/emoticon/28798/1"
"67","Pepepains","https://cdn.frankerfacez.com/emoticon/227992/1"
"68","POGGIES","https://cdn.frankerfacez.com/emoticon/257284/1"
"69","Thonk","https://cdn.frankerfacez.com/emoticon/191246/1"
