X1,Post Title,Post Score,Created UTC,Post Author,domain,url,first_emote,first_emote_count,first_emote_proportion,second_emote,second_emote_count,second_emote_proportion,third_emote,third_emote_count,third_emote_proportion,fourth_emote,fourth_emote_count,fourth_emote_proportion
2,"Chang Gang OOC talking about what the chat hoppers are talking about and calling XQC ""dogshit""",6210,2021-03-23T05:43:58Z,Xenoleff,clips.twitch.tv,https://clips.twitch.tv/DrabHealthyDiamondUWot-sG2Ym1Gjb6th2TdG,rameeEZ,65,19.35,UHM,60,17.86,OuttaPocket,44,13.1,LUL,41,12.2
9,Hasan hears Poke's new TTS,3408,2021-03-23T00:01:17Z,tzingkha,clips.twitch.tv,https://clips.twitch.tv/ViscousAverageDonutJebaited-wL0PvdDrViBfVdEy,KEKW,24,44.44,OMEGALUL,17,31.48,KEKWait,3,5.56,POGGIES,2,3.7
17,X and Dundee Realize the Truth,1111,2021-03-23T03:12:22Z,DisabledGoat32,clips.twitch.tv,https://clips.twitch.tv/ColdbloodedWealthyCheeseAsianGlow-6mZCDdx_47vF_1Lg?tt_medium=redt,OMEGALUL,183,68.28,LULW,36,13.43,xqcOmega,21,7.84,LUL,10,3.73
20,Cleanbois find the robbers they were looking for,679,2021-03-23T04:37:36Z,tzingkha,clips.twitch.tv,https://clips.twitch.tv/UninterestedHomelyKoalaAliens-jIgQFXEZX8uHg89W,OMEGALUL,65,29.95,KEKW,58,26.73,PepeLa,10,4.61,mehdiBANANA,9,4.15
22,Poke laughs as millions die,2399,2021-03-22T20:43:45Z,SterlingSilver5,clips.twitch.tv,https://clips.twitch.tv/AdorablePlumpMagePeoplesChamp-phIUzfF5j9BRbnNJ,OMEGALUL,32,29.63,Pog,25,23.15,LULW,8,7.41,monkaW,7,6.48
25,Ludwig Subathon Update,2138,2021-03-22T20:03:08Z,fiver49,clips.twitch.tv,https://clips.twitch.tv/SassySwissBunnyPhilosoraptor-lnMjo1t61vteBMdp,ludwig7,226,30.58,PogChamp,160,21.65,KomodoHype,64,8.66,ludwigFrog,24,3.25
26,mizkif talks about maya,2512,2021-03-22T19:10:09Z,thesaladtong,clips.twitch.tv,https://clips.twitch.tv/BrightDiligentBatteryCurseLit-0LadJCBZupntDeIR,modCheck,16,40,LULW,7,17.5,OMEGALUL,7,17.5,BASED,1,2.5
27,Destiny gets owned and then gets a permanent spot on Scuffed 🦍,571,2021-03-23T02:50:05Z,sexypipebagman,clips.twitch.tv,https://clips.twitch.tv/SavoryGrossTigerPMSTwin-S452C1DG32ki2q2K,OMEGALUL,11,32.35,LUL,8,23.53,LULW,6,17.65,PepeLaugh,5,14.71
30,summit1g's Reaction To Esfand's Impersonation,796,2021-03-23T00:07:33Z,sojuboyy,clips.twitch.tv,https://clips.twitch.tv/RichInnocentKoalaHoneyBadger-7G-znX0gJEreCzZD?tt_medium=redt,KEKW,71,23.43,LUL,55,18.15,BibleThump,38,12.54,Pog,30,9.9
31,Javaaaa view change FAIL in helicopter lesson with XQCOW on GTA RP,653,2021-03-23T01:07:24Z,turbogiraffe,clips.twitch.tv,https://clips.twitch.tv/ConsiderateAgileSquidDoritosChip-oEwwojhFpxSX6ZrQ,OMEGALUL,6,50,xqcL,3,25,KEKW,1,8.33,LUL,1,8.33
36,OTK Charity Stream Fail,1107,2021-03-22T20:16:25Z,Yoshimitsu87,clips.twitch.tv,https://clips.twitch.tv/GiantSpoopyIguanaVoteYea-y4JBWguGUO16f95l,Drake,230,39.45,OMEGALUL,144,24.7,peepoHey,70,12.01,LULW,30,5.15
42,Crazy earthquake in Korea,2093,2021-03-22T14:49:49Z,kpoplova,clips.twitch.tv,https://clips.twitch.tv/CaringFriendlyZebraCoolStoryBob-NT8g8rmyqjDvLFju,Kreygasm,32,20.25,soofloFkr,24,15.19,soofloAka,23,14.56,soofloRmr,23,14.56
50,Summit8.1G ending stream,4255,2021-03-22T09:39:22Z,MnemosyneAgiad,clips.twitch.tv,https://clips.twitch.tv/AgileOptimisticBeanBatChest-lpZVm6zdeBUfg7Ok,esfandL,126,16.38,sum1g,101,13.13,OMEGALUL,98,12.74,BibleThump,86,11.18
51,Summit1G makes an appearance on Esfand's stream,8492,2021-03-22T06:59:31Z,DruidDobby,clips.twitch.tv,https://clips.twitch.tv/JazzyFuriousPeafowlNononoCat-kqGhqd7V9qRrfQJV,OMEGALUL,62,36.26,LULW,24,14.04,LUL,22,12.87,PogU,15,8.77
52,Mr B sings to X,773,2021-03-22T18:24:18Z,MysteriiousComposer,clips.twitch.tv,https://clips.twitch.tv/ShortHorribleCockroachEleGiggle-JBLJcGbQlILiF849,OMEGALUL,254,33.82,TriDance,112,14.91,LUL,66,8.79,TriKool,47,6.26
53,imaqtpie gets a taste of his own medicine,616,2021-03-22T19:15:59Z,FEDDY1919,clips.twitch.tv,https://clips.twitch.tv/HelpfulBlatantKangarooTheRinger-U6bwHt46cuM6uMIm,KEKW,16,38.1,qtpBOX,8,19.05,OMEGALUL,7,16.67,LULW,3,7.14
56,Kyle Pred finally raided Burger Shot and found Human Remains inside,1466,2021-03-22T14:06:57Z,Villenthessis,clips.twitch.tv,https://clips.twitch.tv/ScrumptiousShakingHamsterAliens-x4fLTQBKXt6Upb26,LUL,4,16.67,KEKW,3,12.5,Pog,3,12.5,Sadge,3,12.5
64,orgasm? you wouldn't know,886,2021-03-22T15:27:15Z,biosnake20,clips.twitch.tv,https://clips.twitch.tv/AbstemiousDreamyDotterelKappaWealth-RSlA68GXilIC8T3r,PogO,26,22.22,LULW,13,11.11,OMEGALUL,13,11.11,HYPERS,12,10.26
69,XQC actually turning into a new leaf and making amends on past wrongdoings,1024,2021-03-22T12:25:04Z,Thememecream,clips.twitch.tv,https://clips.twitch.tv/StrongMotionlessCheetahPraiseIt-BxMLJw1Fhy44d-x8,EZ,129,28.29,GlitchLit,112,24.56,FeelsStrongMan,44,9.65,Sadge,22,4.82
80,Adept holds up xQc in game,675,2021-03-22T13:17:07Z,ItzMistaa,clips.twitch.tv,https://clips.twitch.tv/SlipperyExpensiveSardineUncleNox-tYCInHKJF5ipnWpy,OMEGALUL,222,31.09,monkaW,75,10.5,WeirdChamp,35,4.9,LULW,34,4.76
86,Dundee loses the cops in 20 seconds flat EZ,1754,2021-03-22T06:28:07Z,JeyEskeetit,clips.twitch.tv,https://clips.twitch.tv/StormyHelplessBeaverDoritosChip-Q0rBL8Cjyez_BjMD,whipSENDIT,130,28.45,OMEGALUL,41,8.97,sykDark,38,8.32,Dance,31,6.78
88,Sheriff Cornwood delivers justice,1937,2021-03-22T05:09:29Z,OLD_PEOPLE_FUCKING,clips.twitch.tv,https://clips.twitch.tv/SaltyArbitraryPuffinAsianGlow-wnO2NCjMTqIOTBgT,OMEGALUL,79,22.77,KEKW,75,21.61,pentawRangGang,34,9.8,pentawICKED,18,5.19
7,How to trick a monkey,140,2021-03-23T17:32:01Z,Teemaah,clips.twitch.tv,https://clips.twitch.tv/CrowdedRespectfulPenguinPartyTime-37EZ5sjsBnfVCwug,KEKW,19,46.34,Jebaited,5,12.2,LUL,5,12.2,OMEGALUL,3,7.32
15,The war between Rob and the Burger Shot Family has finally started,439,2021-03-23T08:23:10Z,Villenthessis,clips.twitch.tv,https://clips.twitch.tv/BoredRelievedQueleaRedCoat-4lrK21GyUbQzgEkp,roflgatorKek,60,24,OMEGALUL,41,16.4,Pog,40,16,LULW,20,8
18,Speedy the most inclusive drug lord,85,2021-03-23T17:06:59Z,LunaVon,clips.twitch.tv,https://clips.twitch.tv/AffluentVastClintmullinsTheRinger-82rObW6ZG1w5so9g,KEKW,5,26.32,LUL,5,26.32,LULW,3,15.79,BOOBA,1,5.26
19,Jade and Destiny discuss appropriate breastfeeding ages,155,2021-03-23T13:34:26Z,Grumsgramsen,clips.twitch.tv,https://clips.twitch.tv/LaconicBrightKoupreyTBTacoRight-BlwJO-Rb7WB054L3,OMEGALUL,24,44.44,LULW,12,22.22,LUL,5,9.26,FeelsWeirdMan,3,5.56
21,Ludwig gets noticed by VGHS,355,2021-03-23T07:31:52Z,Khatzley,clips.twitch.tv,https://clips.twitch.tv/SlipperyEphemeralIcecreamThisIsSparta-lq2qeo1WCiGgeJCw,Clap,10,22.22,EleGiggle,10,22.22,PogU,4,8.89,OMEGALUL,3,6.67
23,"Sips_' store gets swarmed by ""mormons""",50,2021-03-23T17:12:33Z,xxLusseyArmetxX,clips.twitch.tv,https://clips.twitch.tv/BombasticBoringAsteriskLeeroyJenkins-JFmsQ07yXXJt_tFA,LUL,33,32.35,KEKW,15,14.71,monkaS,8,7.84,monkaW,7,6.86
32,Yeager Tries to commit insurance fraud,254,2021-03-23T05:49:20Z,alcatrazcgp,clips.twitch.tv,https://clips.twitch.tv/ResoluteKnottyDinosaurBlargNaut-KLKcU4VZD9nebDQ5,OMEGALUL,297,43.81,DonoWall,48,7.08,LULW,41,6.05,Kappa,22,3.24
